#{"t_start": 1775763894.8058867, "env_id": "Hopper-Mass-Uni-10-v0"}
r,l,t
78.113992,13,2.6859686.8.525043,12,2.6929676.7.515678,15,2.701983
14.51021,43,2.72551
1.21865,9,2.73051
6.976478,15,2.738509
12.404773,18,2.748508
9.967772,17,2.75851
90.136098,51,2.786511
16.273367,30,2.80352
16.468672,16,2.813523
8.411277,20,2.825054
4.980343,11,2.830057
28.168819,29,2.846073
4.783521,10,2.851074
6.004754,10,2.856604
10.354603,17,2.864603
79.155591,80,2.908625
21.252684,25,2.922154
5.086218,9,2.926153
39.234762,32,2.943158
3.718493,13,2.950149
3.667149,8,2.954158
24.913192,23,2.966156
17.379866,30,2.982156
11.995286,16,2.990157
9.582449,25,3.003172
21.974577,27,3.017711
2.925735,8,3.022712
21.345515,24,3.035711
5.587055,13,3.042713
24.187175,22,3.05571
5.048095,9,3.060709
10.555523,19,3.070712
7.681381,25,3.085708
3.719459,8,3.089709
5.651211,18,3.100729
32.057106,25,3.115246
5.29889,21,3.126268
49.318404,41,3.148267
5.058226,10,3.153264
6.782743,11,3.159262
10.931942,18,3.169265
11.404273,30,3.185266
9.373128,17,3.193265
14.697073,21,3.204279
10.504204,12,3.210281
9.227529,15,3.217822
13.240741,14,3.224822
20.584511,24,3.236824
4.526275,25,3.248824
10.334388,13,3.25982
5.694322,9,3.265821
7.246277,27,3.28282
5.156147,9,3.287823
14.499689,17,3.295823
3.28625,21,3.306838
8.030073,14,3.313836
15.976188,36,3.331371
4.016131,12,3.337372
11.454767,19,3.347383
15.907731,17,3.355655
21.675084,30,3.37065
5.873828,10,3.376656
6.641878,16,3.385658
34.889354,29,3.400674
19.348726,46,3.424207
5.948745,33,3.442204
9.035964,24,3.454209
12.000387,17,3.462209
10.24628,14,3.46921
4.443796,8,3.473209
6.905476,16,3.48121
12.698577,21,3.49221
7.678018,13,3.498207
4.721442,8,3.502222
9.272895,12,3.508222
6.544317,15,3.516761
6.908038,15,3.523762
13.897605,16,3.532762
7.819978,17,3.540763
12.688664,21,3.55276
8.132556,12,3.558763
23.312334,23,3.570758
3.396015,10,3.574761
10.21287,20,3.581764
15.085585,18,3.588759
10.257149,13,3.593759
3.736468,7,3.595759
3.269279,7,3.598758
3.898821,8,3.60277
49.423168,36,3.620312
6.370446,16,3.627312
9.369501,29,3.642313
7.064741,13,3.648304
27.56047,36,3.659838
14.890763,17,3.664834
8.833723,13,3.668835
12.635251,14,3.67484
32.185824,32,3.6878398.273682,22,6.346785
69.224176,40,6.360319
5.992388,16,6.365321
1287.874201,50,6.375317
93.446822,53,6.403331
58.190415,35,6.422872
115.48875,60,6.455872
4.631853,13,6.46187
14.3644,16,6.470872
22.119854,45,6.496872
14.410849,31,6.515875
34.551601,26,6.52936
45.897601,36,6.548364
9.643491,12,6.55536
6.505164,16,6.563362
20.166385,18,6.573359
10.379103,34,6.591361
31.649494,26,6.604379
157.926307,90,6.652916
54.962793,33,6.669919
12.054061,13,6.676908
3.906644,13,6.684907
53.989295,37,6.704936
15.162092,22,6.717936
10.63196,23,6.729149
14.509274,19,6.740149
16.797283,32,6.75714
35.44023,32,6.773149
17.310534,21,6.78415
7.835267,11,6.790148
16.733149,18,6.798147
31.891555,43,6.815167
2.629856,13,6.821304
27.977635,34,6.841325
40.47526,53,6.867866
61.667484,55,6.896861
104.353751,55,6.925413
57.979167,83,6.969404
15.944757,21,6.979406
6.164601,27,6.993411
6.366027,10,6.998411
4.540544,15,7.006426
52.732885,31,7.020622
7.717397,13,7.02762
60.489349,40,7.047622
6.368528,16,7.055619
2.378695,24,7.067615
5.241614,14,7.074614
7.789639,18,7.083611
17.16424,20,7.093607
11.165056,17,7.101608
5.026633,13,7.108616
125.425113,84,7.165148
8.851423,14,7.177149
140.33982,96,7.230683
41.668477,40,7.250692
5.085612,8,7.253694
64.0092,73,7.278693
8.851941,15,7.283695
5.37533,9,7.286692
6.864003,13,7.290694
9.449216,12,7.294691
6.669806,14,7.298688
9.341878,20,7.305707
17.921856,29,7.315706
16.613739,29,7.327231
16.868634,17,7.333233
12.328637,26,7.350251
18.903536,21,7.361776
68.692318,76,7.401778
10.263196,15,7.408787
19.670288,20,7.418786
19.768431,21,8.095479
64.468509,38,8.1165
4.440083,30,8.133037
157.668279,92,8.150032
145.551138,39,8.171041
158.135065,37,8.191042
37.238911,24,8.206039
135.897568,100,8.243272
33.416316,36,8.2622711539.05147,34,8.279272
65.312357,37,8.298277
16.056419,27,8.311291
117.656939,62,8.330827
10.562186,14,8.337823
80.253214,50,8.369029
12.534101,14,8.374025
17.520945,19,8.384025
1.456572,20,8.394019
37.683034,28,8.4070389.17.731112,18,8.416045622.787387,20,8.4255751144.322789,40,8.4465766920.617947,22,8.4575755989.736756,63,8.4875713.65.897571,44,8.5095754.12.592758,18,8.518527.757774,31,8.527093
4.9523.979949,23,8.5364.87126.834099,34,8.557101
165.132961,101,8.611107
5.321317,10,8.616107
15.899984,20,8.625618
72.912944,51,8.650627
28.210326,25,8.663629
153.790709,101,8.714649
10.277475,13,8.721644
22.661336,31,8.738168
26.735178,23,8.75017
10.728347,14,8.758169
30.725388,39,8.778166
190.943523,113,8.836404
95.490302,51,8.862958
18.049317,18,8.871958
17.418134,28,8.885957
20.216881,19,8.894958
17.582618,23,8.906956
114.948564,61,8.939505
23.409922,29,8.954508
27.12664,55,8.983502
15.995847,17,8.991505
8.154336,11,8.998506
15.789801,17,9.007523
18.425765,20,9.018525
8.734785,12,9.025064
30.10451,34,9.043064
25.38621,25,9.057059
98.035908,52,9.085063
61.553676,37,9.104063
41.048666,37,9.125268
131.057026,66,9.853113
91.427482,50,9.879646
111.648383,66,9.91167
70.641104,46,9.927209
145.096213,73,9.952208
147.795962,82,9.980206
30.161434,53,9.999207
122.092414,63,10.022212
155.598089,72,10.046735
115.587317,70,10.074724
69.11577,38,10.089735
139.87141,89,10.12327
51.556925,40,10.143289
102.744541,62,10.173288
114.478,66,10.205288
89.089728,47,10.229425
31.19891,25,10.242425
166.504373,93,10.288428
30.470545,40,10.308427
149.320138,118,10.369504
102.431793,67,10.401495
100.090197,53,10.427716
84.416496,47,10.45071
111.381672,71,10.47971
19.975236,22,10.490704
9.699374,20,10.499715
111.444146,57,10.518731
197.192865,113,10.555269
198.500765,100,10.597268
74.075949,42,10.61828
180.991724,89,10.663809
102.386971,65,10.699811
40.237729,31,10.71982
138.761836,73,11.528819
9.010159,13,11.535821
109.743223,61,11.565826
208.894205,105,11.618846
163.233665,78,11.661381
57.600965,34,11.679384
27.274661,28,11.694375
142.064146,69,11.729641
70.463094,40,11.750647
213.74518,128,11.811658
135.415726,72,11.847818
70.942002,46,11.870062
70.54907,40,11.891061
97.271012,57,11.919081
137.095811,86,11.968606
36.795622,30,11.983618
101.489315,57,12.014636
57.912579,45,12.038712
88.903778,51,12.065715
97.766492,57,12.094704
132.619788,79,12.137824
218.654759,107,12.194817
201.801212,100,12.247368
215.326563,99,12.297371
93.241937,51,12.324896
174.186053,81,12.354923
186.990508,85,12.38945
106.978138,55,12.419474
140.158016,79,12.462015
74.873169,59,12.488014
241.376765,116,12.526565
202.994112,95,13.337138
152.79381,98,13.387674
66.76883,45,13.427207
131.28645,64,13.481214
101.666466,53,13.516228
81.267515,46,13.535748
132.917395,69,13.558747
155.746879,74,13.591744
212.423648,109,13.647142
68.2318,39,13.666144
128.825699,68,13.695141
