train_env,run_name,avg_reward,learning_rate,batch_size,n_steps,gae_lambda,ent_coef,CustomHopper-target-v0_mean,Hopper-Target-Mass-Easy-v0_mean,Hopper-Target-Mass-Medium-v0_mean,Hopper-Target-Mass-Hard-v0_mean,Hopper-Target-Fric-Easy-v0_mean,Hopper-Target-Fric-Medium-v0_mean,Hopper-Target-Fric-Hard-v0_mean,Hopper-Target-Both-Easy-v0_mean,Hopper-Target-Both-Medium-v0_mean,Hopper-Target-Both-Hard-v0_mean,CustomHopper-target-v0_std,Hopper-Target-Mass-Easy-v0_std,Hopper-Target-Mass-Medium-v0_std,Hopper-Target-Mass-Hard-v0_std,Hopper-Target-Fric-Easy-v0_std,Hopper-Target-Fric-Medium-v0_std,Hopper-Target-Fric-Hard-v0_std,Hopper-Target-Both-Easy-v0_std,Hopper-Target-Both-Medium-v0_std,Hopper-Target-Both-Hard-v0_std
Hopper-Fric-Uni-50-v0,Fric-Uni-50_lr_3e-3,403.41,0.003,64,2048,0.95,0.0,343.01,422.58,318.61,421.23,441.35,362.72,525.11,463.08,465.85,270.57,199.44,174.1,204.81,177.51,164.06,197.1,0.5,143.06,139.15,3.62
Hopper-Fric-Uni-50-v0,Fric-Uni-50_batch_32,1056.61,0.0003,32,2048,0.95,0.0,1440.47,1425.37,1495.97,869.95,1447.19,927.13,399.43,1431.33,784.06,345.21,4.92,3.61,38.26,4.61,4.46,13.76,1.25,5.69,29.24,1.36
Hopper-Fric-Uni-50-v0,Fric-Uni-50_batch_128,1103.07,0.0003,128,2048,0.95,0.0,1491.11,1533.8,1471.53,1420.02,1353.34,852.84,385.52,1394.55,805.91,322.07,108.68,75.56,54.46,62.25,101.81,11.81,1.52,162.29,18.66,1.28
Hopper-Fric-Uni-50-v0,Fric-Uni-50_batch_256,578.25,0.0003,256,2048,0.95,0.0,876.9,815.55,684.69,1093.7,459.37,486.45,313.96,287.17,482.4,282.27,88.71,113.36,79.15,274.87,249.91,10.55,1.3,10.77,9.0,1.82
Hopper-Fric-Uni-50-v0,Fric-Uni-50_batch_512,451.61,0.0003,512,2048,0.95,0.0,488.45,437.22,549.61,682.05,387.3,556.24,318.83,365.68,441.06,289.65,126.94,68.21,6.02,66.71,51.16,68.16,3.86,32.12,13.62,3.91
Hopper-Fric-Uni-50-v0,Fric-Uni-50_nsteps_512,569.61,0.0003,64,512,0.95,0.0,866.91,880.63,512.0,457.8,707.2,460.64,374.73,683.08,431.62,321.45,175.26,145.18,120.81,167.72,94.34,8.53,2.21,80.84,2.17,2.32
Hopper-Fric-Uni-50-v0,Fric-Uni-50_nsteps_1024,855.15,0.0003,64,1024,0.95,0.0,1152.88,1191.05,1031.26,755.48,1386.25,540.41,364.23,1366.5,442.19,321.24,182.74,242.86,46.73,81.21,178.62,35.37,1.66,160.08,9.02,1.04
Hopper-Fric-Uni-50-v0,Fric-Uni-50_nsteps_4096,1122.97,0.0003,64,4096,0.95,0.0,1169.18,1183.93,1449.31,1185.42,1458.28,1537.45,420.12,1176.66,1309.15,340.16,2.92,4.57,2.24,78.2,97.36,86.38,2.02,3.49,13.27,1.61
Hopper-Fric-Uni-50-v0,Fric-Uni-50_gae_0-9,1172.52,0.0003,64,2048,0.9,0.0,1548.14,1552.43,1486.61,1489.55,1532.74,903.96,386.85,1536.38,949.11,339.47,10.36,7.1,10.77,13.85,22.35,18.9,1.51,11.08,69.14,1.31
Hopper-Fric-Uni-50-v0,Fric-Uni-50_gae_1-0,922.74,0.0003,64,2048,1.0,0.0,1417.71,1348.34,1272.22,856.98,1305.15,717.71,320.87,1121.57,561.43,305.45,221.45,245.15,139.15,55.77,226.7,13.15,7.86,220.0,16.7,9.39
Hopper-Fric-Uni-50-v0,Fric-Uni-50_ent_0-001,1085.03,0.0003,64,2048,0.95,0.001,1472.93,1465.27,1563.1,929.45,1479.22,880.13,399.95,1474.34,853.87,332.05,2.44,2.72,11.54,19.73,1.95,21.15,1.45,1.75,22.69,1.53
Hopper-Fric-Uni-50-v0,Fric-Uni-50_ent_0-01,737.38,0.0003,64,2048,0.95,0.01,959.73,1174.44,490.84,404.44,1197.44,815.11,283.05,1183.87,579.23,285.65,565.72,556.78,310.17,251.17,452.33,153.52,8.71,492.16,106.78,11.57
Hopper-Fric-Uni-50-v0,Fric-Uni-50_ent_0-1,50.36,0.0003,64,2048,0.95,0.1,46.02,45.93,46.7,42.19,44.0,52.5,61.25,44.34,60.21,60.46,2.06,0.96,2.69,0.93,1.21,2.43,1.87,1.35,2.03,1.71
