policy,n_seeds,train_seeds,CustomHopper-target-v0_mean,CustomHopper-target-v0_std,CustomHopper-target-v0_ep_len,Hopper-Target-Mass-Easy-v0_mean,Hopper-Target-Mass-Easy-v0_std,Hopper-Target-Mass-Easy-v0_ep_len,Hopper-Target-Mass-Medium-v0_mean,Hopper-Target-Mass-Medium-v0_std,Hopper-Target-Mass-Medium-v0_ep_len,Hopper-Target-Mass-Hard-v0_mean,Hopper-Target-Mass-Hard-v0_std,Hopper-Target-Mass-Hard-v0_ep_len,Hopper-Target-Fric-Easy-v0_mean,Hopper-Target-Fric-Easy-v0_std,Hopper-Target-Fric-Easy-v0_ep_len,Hopper-Target-Fric-Medium-v0_mean,Hopper-Target-Fric-Medium-v0_std,Hopper-Target-Fric-Medium-v0_ep_len,Hopper-Target-Fric-Hard-v0_mean,Hopper-Target-Fric-Hard-v0_std,Hopper-Target-Fric-Hard-v0_ep_len,Hopper-Target-Both-Easy-v0_mean,Hopper-Target-Both-Easy-v0_std,Hopper-Target-Both-Easy-v0_ep_len,Hopper-Target-Both-Medium-v0_mean,Hopper-Target-Both-Medium-v0_std,Hopper-Target-Both-Medium-v0_ep_len,Hopper-Target-Both-Hard-v0_mean,Hopper-Target-Both-Hard-v0_std,Hopper-Target-Both-Hard-v0_ep_len
CustomHopper-source-v0,1,[42],1439.35,287.32,409.9,1687.84,107.07,478.6,651.33,32.97,211.2,349.59,55.16,136.2,1466.8,268.08,420.7,956.28,49.21,266.9,418.26,2.15,143.9,1553.05,238.65,441.7,698.55,36.08,213.1,345.88,2.7,131.0
Hopper-MassFric-Uni-80-v0,2,"[774182, 90161]",1180.89,106.73,351.0,1147.25,88.02,340.1,974.76,35.25,299.5,648.71,33.05,210.6,1335.46,198.06,395.4,1090.49,93.98,318.2,440.88,5.29,155.0,1306.7,181.31,391.3,666.47,8.38,213.9,350.95,1.94,133.6
